dc:identifier,rdfs:label.fr,schema:streetAddress,schema:addressLocality,schema:postalCode,schema:email,schema:telephone,foaf:homepage_x,schema:legalName,foaf:homepage_y,type_stream
6051680,Les mout'ânes,1 rue du Château Gaillard,Saint-Hilaire-sur-Helpe,59440,stephane.symond@wanadoo.fr,+33 3 27 60 18 12 +33 6 78 69 51 05,https://www.lesmoutanes.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051474,Au pied de la Tarsy n°592133,2 rue de Monceau,Leval,59620,,+33 3 20 14 93 93 +33 6 79 43 58 51,http://www.gites-de-france-nord.com/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057871,Camping Municipal de Bellignies,rue du Moulin,Bellignies,59570,mairie.bellignies@wanadoo.fr,+33 3 27 63 16 01,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048885,Les charmilles de Mormal,34 bis -37 les étoquies,Landrecies,59550,contact@charmillesdemormal.com,+33 3 27 77 32 08 +33 6 32 32 85 58,http://www.charmillesdemormal.com/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051532,Gîte de la garde de Willies n° 4910,17 rue de Beumont,Willies,59740,bonneau-sylvie@wanadoo.fr,+33 6 07 63 94 80 +33 9 75 77 28 75,http://www.gitavesnois.com/ https://www.gites-de-france-nord.fr/location-vacances-Gite-Willies-La-Garde-De-Willies-59G4910.html,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057879,Camping Les étangs des moines,100 rue des étangs,Fourmies,59610,vblanckaert@mairie-fourmies.fr,+33 3 27 63 05 26,https://www.etangsdesmoines.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051625,La petite frontière,18 rue de Maubeuge,Villers-Sire-Nicole,59600,davidchombart@gmail.com,+33 3 27 67 68 63 +33 6 28 59 59 99,https://www.gites-de-france.com/fr/hauts-de-france/nord/la-petite-frontiere-59g4801,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057863,Camping la Jonquière,15 rue des fonds,Hon-Hergies,59570,contact@campinglajonquiere.fr,+33 3 27 66 95 17 +33 6 60 90 75 68,https://www.campinglajonquiere.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048868,Best western l'atelier 117,117 Avenue Jean Jaurès RN 49,Maubeuge,59600,bestwestern@latelier117.com,+33 3 27 62 15 00,http://www.latelier117.com/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6406205,Relais éco-vélo et base VTT,1  rue Aristide Briand,Ferrière-la-Grande,59680,relaisecovelo@gmail.com,+33 3 27 66 90 65 +33 6 77 31 78 86,http://www.relais-eco-velo.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057855,Camping de Madame Basile,8 rue du vieux chemin de Trélon,Eppe-Sauvage,59132,campingalafermeeppe@orange.fr,+33 6 80 41 18 44,,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057870,Camping les nénuphars,10 rue Gilles Beaurieux,Taisnières-sur-Hon,59570,campinglesnenuphars@orange.fr,+33 3 27 39 40 93 +33 6 20 59 15 73,http://www.campinglesnenuphars.com/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048884,Le grand hôtel,1 Porte de Paris,Maubeuge,59600,contact@grand-hotel-maubeuge.fr,+33 3 27 62 66 87,http://www.grand-hotel-maubeuge.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6051533,Gîte de la garde de Willies n° 4911,17 rue de Beumont,Willies,59740,bonneau-sylvie@wanadoo.fr,+33 6 07 63 94 80 +33 9 75 77 28 75,http://www.gitavesnois.com/ https://www.gites-de-france-nord.fr/location-vacances-Gite-Willies-La-Garde-De-Willies-59G4911.html,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6057853,Camping au Moulin de Frasnoy,5 chemin de Villers Pol,Frasnoy,59530,contact@camping-de-frasnoy.fr,+33 3 27 49 43 30 +33 6 23 17 07 82,http://www.camping-de-frasnoy.fr/,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
6048881,Hôtel Restaurant Campanile,Avenue Jean Jaurès,Maubeuge,59600,maubeuge@campanile.fr,+33 3 27 64 00 91,https://www.campanile.com/fr-fr/nos-hotels/france/hauts-de-france/hotels-maubeuge/?sr=NBCAFR&gclsrc=aw.ds&kClkId=220512161659617701&kVsId=210818151814509955&gclid=Cj0KCQjw4PKTBhD8ARIsAHChzRJkiJ3QRa1TUKc-h908oLezD43QCKHXYyu_w-yLC2-2rqlw5HGLS6UaAirJEALw_wcB,Apidae Tourisme Scic SA - source : Apidae Tourisme,https://www.apidae-tourisme.com/,Hebergement
89428,Au Chant des Coqs,263 ruelle de Grigny,Bezinghem,62650,colette.dassonville@orange.fr,,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
86970,La Belmarienne,64 route nationale,Beaumerie-Saint-Martin,62170,labelmarienne@laposte.net,+33 6 70 95 32 34,https://www.airbnb.fr/rooms/36708223?source_impression_id=p3_1596791000_aCasFUn1WHvgqOw+,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
60246,LA ROULOTTE DU BONHEUR,"35, rue des faiseurs de bateaux",Saint-Omer,62500,corinne.belleval@wanadoo.fr,,http://laroulottedubonheur.e-monsite.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
78726,Torrez Franck,1600 bd Labrasse,Cucq,62780,,+33 3 20 44 14 73,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
57024,Miny Park,Chemin de la Rampée,Berck,62600,minypark@wanadoo.fr,+33 3 21 09 02 68,http://www.minypark.net/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14821,NAJETI HOTEL DU GOLF,Chemin des Bois,Acquin-Westbécourt,62380,golf@najeti.fr,+33 3 21 11 42 42,http://www.golf.najeti.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
60193,GÎTE  AU BORD DE L'EAU,11 Rue Moulin Leulieux,Hallines,62570,annickduflos@voila.fr,+33 3 21 95 95 60,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
100860,Au Clos du Moulin,30 chemin du moulin,Alincthun,62142,sandracampagne@live.fr,+33 6 22 39 63 49,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
15399,Au Cœur d'Inxent,299 rue de la Vallée,Inxent,62170,laurence.sixverlyck@gmail.com,+33 6 89 51 00 08,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
79462,Le Sweet Home Lens,27 rue du 14 juillet,Lens,62300,danieldessailly@hotmail.fr,+33 6 61 99 52 80,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
13405,Gîte rural - La méridienne verte,"23, Rue de Febvin",Fiefs,62134,mairie.fiefs@free.fr,+33 3 21 04 60 90,https://sites.google.com/site/villagedefiefs,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
73725,MAISON ARLEQUIN,1810 Route de Tournes,Echinghen,62360,reservation@leclosdetournes.com,+33 6 07 09 21 14,http://leclosdetournes.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
89494,Cécile Van Lathem,44 rue de la paix,Le Touquet-Paris-Plage,62520,cecile.berquinvanlathem@gmail.com,+33 7 69 79 74 54,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
74865,CAMPING LA WARENNE*,Chemin de la Warenne,Saint-Étienne-au-Mont,62360,camping@saintetienneaumont.com,+33 3 21 91 31 38,http://www.saintetienneaumont.com/index.php/activites-loisirs/camping/plan-d-acces/adirectory/item/6-camping-municipal-d-ecault,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
60230,LE MOULIN DE PIDOU,"37, rue de l'Eglise",Hallines,62570,albert.lefebvre@bbox.fr,+33 3 21 95 30 48,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
80896,A LA MAISON DU BONHEUR,163 rue Georges Mauffait,Audruicq,62370,bramegilles@gmail.com,+33 3 21 85 01 12,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
90915,La maison d'ingénieur,4 rue Vasco de Gama,Loos-en-Gohelle,62750,,+33 9 83 55 05 65,http://www.porte-mine.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
13968,M. Edric Cappon,1 rue Albert Camus,Wissant,62179,edric.cappon@polytech-lille.fr,+33 3 20 42 98 31,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
66782,L'HOTEL PARTICULIER,8 Rue du Péage,Arras,62000,hotelparticulierarras@gmail.com,+33 9 66 81 79 27,http://www.hotelparticulierarras.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
73671,LE COTTAGE,10 rue Napoléon,Wimereux,62930,bettina.lonquety@cegetel.net,+33 6 49 02 50 34,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14784,M. HELLEBOIS,1 Route de Serques,Moulle,62910,,+33 3 21 39 59 91,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
15417,Au Jardin du Bionheur - Chambre Les Grenouilles Vertes,129 Route de Beutin,La Calotterie,62170,jlg.cavelier@gmail.com,+33 3 21 05 41 47,http://www.bionheur.org/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
37055,Gîte de la Slack,30 rue au Sable - La Slack,Ambleteuse,62164,mifourcroy@orange.fr,+33 6 87 10 68 98,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
65406,Les Cabanes des Marais,1 chemin du pont Blanc,La Madelaine-sous-Montreuil,62170,reservations@legrandbain.eu,+33 6 18 13 02 74,https://lescabanesdesmarais.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
60792,MME ESTIVAN,34bis Rue du 11 Novembre,Berck,62600,ch.estivan@hotmail.fr,,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
79424,La Maison Bernière,3 rue Péri Brossolette,Souchez,62153,esatarrageois@vieactive.asso.fr,+33 3 21 60 43 30,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14682,LA COULONNIÈRE,26 La Place - Hameau de la Cantemerle,Wismes,62380,la-coulonniere@orange.fr,+33 3 21 39 91 51,http://www.la-coulonniere.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
15239,La Motte d'Annezy,"14 avenue de la Motte d'Annezy
Thubeauville",Parenty,62650,nacryjeanine@hotmail.fr,+33 3 21 90 72 87,http://www.gites-de-france-nord-pas-de-calais.fr/location-vacances-Gites-a-Parenty-62G486471.html,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
73428,Bardoux François,"79 rue du Calvaire
Appartement 4",Berck,62600,sci-jla@orange.fr,+33 6 48 28 23 50,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14618,LA FERME DES TEMPLIERS,2 Rue des Templiers,Enquin-lez-Guinegatte,62145,fdt-maes@sfr.fr,+33 3 21 39 74 21,http://www.la-ferme-des-templiers-de-flechinelle.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
64163,GITE DU QUESNOY,1121 Rue du Château,Busnes,62350,delphine.messean@orange.fr,+33 3 21 52 78 72,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
97764,Lapointe Pierrick et Céline,"2028 bd Labrasse
Résidence Sixtine
Appt 7",Cucq,62780,laurent.celin@gmail.com,+33 6 99 06 40 95,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
81323,Hôtel Barrière Le Westminster,Avenue du Verger,Le Touquet-Paris-Plage,62520,reception-westminster@groupebarriere.com,+33 3 21 05 48 48,http://www.lewestminster-letouquet.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
79287,Gîte - Nid'ou,"442, Rue du Grand Pont",Aubin-Saint-Vaast,62140,entrevertetmer@gmail.com,+33 6 15 02 43 59,http://entrevertetmer.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
62449,L'Opaline,5 bis rue du Pont Rouge,Verton,62180,nicole.marseille62180@orange.fr,+33 6 31 37 78 23,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
86997,BUCCIALI,"47, rue de la tour Notre Dame",Boulogne-sur-Mer,62200,contact.bucciali@gmail.com,,http://www.bucciali.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
84030,Le Grand Chemin,13 Grande Rue,Frencq,62630,,+33 6 10 64 64 83,https://www.gites-de-france-pas-de-calais.fr/location-vacances-gite-a-frencq-62G1006.html,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
80780,LES PÂQUERETTES,40 rue d'Hardelot,Condette,62360,thierry.offwood@orange.fr,+33 6 71 59 01 58,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
97735,Les Sapins,"8 allée des Peupliers
Appt 10",Saint-Josse,62170,valentin.henriot@gmail.com,,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
86620,La Roulotte des Marquets,39 rue des Trois Marquets,Bourthes,62650,cbonnet@xilan.fr,+33 6 81 42 74 40,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
75227,Domaine de Waringzelle,40 Route du Cran aux Oeufs - Cap Gris-Nez,Audinghen,62179,contact@gites-capgrisnez.com,,http://www.gites-capgrisnez.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
45273,Bel Oiseau,12 avenue Victor Hugo,Wissant,62179,didier.davies@club-internet.fr,+33 6 77 53 20 93,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
74978,L'AUTHENTIQUE,"4 route de Wierre Effroy
Souverain Moulin",Pernes-lès-Boulogne,62126,p.boutoille@orange.fr,+33 6 07 35 66 91,http://www.chambresdhoteslauthentique.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
89907,LA PROVIDENCE,3 rue du membre,Muncq-Nieurlet,62890,patrick.marmin0949@orange.fr,+33 3 21 97 14 64,https://www.laprovidence-muncq-nieurlet.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14191,Les Vergers de Brunembert,21 rue Wint,Brunembert,62240,leducnicolas@wanadoo.fr,+33 3 21 32 98 90,http://www.lafermeduwint.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14601,CAMPING LA TENTATION,Rue du Corroy,Renty,62560,latentation@wanadoo.fr,+33 3 21 95 28 19,http://campinglatentation.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
68298,FERME DE L'ABBAYE,,Dury,62156,ch.n.choquet@wanadoo.fr,+33 3 21 58 98 59,http://www.ferme-abbaye.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
94800,L'Opaline,"5 bis rue du Pont Rouge
62180 Verton",Berck,62600,nicole.marseille62180@orange.fr,+33 6 31 37 78 23,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
68467,Ethic Etapes du Parc Départemental d'Olhain,,Maisnil-lès-Ruitz,62620,,,http://www.parcdolhain.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14717,GÎTE DE LA LIETTE,97 Rue de l'Eglise,Éperlecques,62910,gitedelaliette@free.fr,+33 3 21 93 05 27,http://gitedelaliette.free.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14284,Le Château des Tourelles,8 rue Principale,Le Wast,62142,contact@hotel-le-wast.com,+33 3 21 33 34 78,http://www.hotel-le-wast.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
94965,L'Arc-en-ciel,1 impasse de la couture,Longvilliers,62630,fanougriss@hotmail.fr,,https://www.airbnb.fr/rooms/28119991?source_impression_id=p3_1641471524_jRYtRTdLMqdy+jnW,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
101671,Entre terre et mer,28b route d'Hucqueliers,Alette,62650,angeliquelaurent62650@gmail.com,+33 6 81 46 70 33,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
75287,Cocon d'Eden,7 rue Paule Crampel,Wissant,62179,welcome.location.wissant@gmail.com,,http://www.location-wissant.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
94167,Bécart Christian & Marie,"2 Avenue Saint Exupéry
Bat Alteia",Berck,62600,,+33 6 73 95 26 64,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
15128,Camping Abri Cotier,"1040, Boulevard de France",Cucq,62780,domaine-abri-cotier@orange.fr,+33 3 21 94 71 04,http://www.camping-stella-plage.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
57252,Hôtel de France,2 place du Général de Gaulle,Lens,62300,contact@hoteldefrancelens.com,+33 3 21 28 18 10,http://www.hoteldefrancelens.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
57109,HOTEL METROPOL'HOTEL,"45, quai du Rhin",Calais,62100,metropol@metropolhotel.com,+33 3 21 97 54 00,http://www.metropolhotel.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
73707,VILLA JEAN,8 rue de l'Amiral Gervais,Wimereux,62930,guillaume.bourquin@gmail.com,+33 6 17 85 92 04,http://locations-vacances-wimereux.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
68477,TRIPLEX ARRAS,22 rue du Dépôt,Arras,62000,standingappart@gmail.com,+33 3 21 22 55 10,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
92929,Lomamökki Insolite,318 avenue thorne,Le Touquet-Paris-Plage,62520,thomas.buffier@gmail.com,+33 6 06 62 63 75,http://airbnb.com/h/un-chalet-au-touquet,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14195,Mme Delsaux - Maison,"10, Place du Village",Belle-et-Houllefort,62142,,+33 3 21 33 37 23,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
60807,RDC,34 Rue Thellier,Berck,62600,guy.martinage@gmail.com,,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
12646,Gîte de groupe - Bouin-Plumoison,Rue de la vieille Canche,Bouin-Plumoison,62140,commune-bouin-plumoison@wanadoo.fr,+33 3 21 86 44 80,http://www.bouin-plumoison.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
80749,L'Envie des Mets,15 Route de Montreuil,Rang-du-Fliers,62180,lenviedesmets62@gmail.com,+33 3 21 84 50 48,http://www.lenviedesmets62.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14595,CAMPING DU LAC DE REBECQUES,Rue des Etiais,Saint-Augustin,62120,dcampingdulac@hotmail.fr,+33 3 21 39 58 58,http://www.camping-rebecques.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
13856,Gîte de la Poterie,424 route de Boulogne,Wirwignes,62240,poterie.dewisme@wanadoo.fr,+33 3 21 91 79 46,http://www.gitedelapoterie.fr/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
56667,Mme COENE,"Esplanade de Sainte Cécile
123 Résidence Holiday Beach",Camiers,62176,,+33 3 24 54 20 19,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
78327,L'Atrium,90 rue Sadi Carnot,Béthune,62400,latriumbethune@hotmail.com,+33 3 21 01 78 28,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14467,Le Pignon Rouge,2 route de la Capelle,Crémarest,62240,daniel.vigneron@hotmail.fr,+33 3 21 91 54 27,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
13897,Le Clos des Sarcelles,63 chemin du Marais,Bazinghen,62250,leclosdessarcelles@orange.fr,+33 3 21 92 88 00,http://pagesperso-orange.fr/leclosdessarcelles,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
14325,AGENCE SERGIC,29 Avenue de la Concorde,Neufchâtel-Hardelot,62152,amontewis@sergic.com,+33 3 21 33 03 70,http://www.sergic-vacances.com/,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
96963,Le Déclic,"36 Place du général de Gaulle
2ème étage",Montreuil,62170,,+33 3 21 06 23 86,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
96624,La Roulotte du Patis,D 108,Embry,62990,franck.denecq62@gmail.com,+33 6 74 55 55 67,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
82635,Les Bécassines,429 rue Léon Triplet,Rang-du-Fliers,62180,gg.mach.gobert@hotmail.fr,+33 6 42 97 46 43,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
79146,Gîte d'Isaure,77 rue principale,Verchocq,62560,vdelagorce@orange.fr,+33 6 82 36 43 95,,Pas-de-Calais Tourisme,https://www.datatourisme62.com/,Hebergement
